Area,DMA
Monterey,MONTEREY-SALINAS
Monterey Dispatch,MONTEREY-SALINAS
Moorpark,LOS ANGELES
Morongo Basin,LOS ANGELES
Mount Shasta,CHICO-REDDING
MR,Unknown
MRCC,Unknown
MY,Unknown
MYCC,Unknown
MYFSP,Unknown
Napa,SAN FRANCISCO-OAK-SAN JOSE
Napa FSP,SAN FRANCISCO-OAK-SAN JOSE
Needles,LOS ANGELES
Newhall,LOS ANGELES
North FSP,Unknown
North Sac,SACRAMNTO-STKTON-MODESTO
North Sac FSP,SACRAMNTO-STKTON-MODESTO
Oakhurst,FRESNO-VISALIA
Oakland,SAN FRANCISCO-OAK-SAN JOSE
Oakland FSP,SAN FRANCISCO-OAK-SAN JOSE
OC,LOS ANGELES
OCCC,LOS ANGELES
Oceanside,SAN DIEGO
OCFSP,LOS ANGELES
Orange County FSP,LOS ANGELES
Oroville,CHICO-REDDING
Parker Dam Resident Post,LOS ANGELES
Placerville,SACRAMNTO-STKTON-MODESTO
Placerville FSP,SACRAMNTO-STKTON-MODESTO
Porterville,FRESNO-VISALIA
Quincy,SACRAMNTO-STKTON-MODESTO
Rancho Cucamonga,LOS ANGELES
RD,Unknown
Red Bluff,CHICO-REDDING
Redding,CHICO-REDDING
Redwood City,SAN FRANCISCO-OAK-SAN JOSE
Redwood City FSP,SAN FRANCISCO-OAK-SAN JOSE
Riverside,LOS ANGELES
Riverside FSP,LOS ANGELES
SA,Unknown
SACC,Unknown
SAFSP,Unknown
San Andreas,SACRAMNTO-STKTON-MODESTO
San Bernardino,LOS ANGELES
San Bernardino FSP,LOS ANGELES
San Diego,SAN DIEGO
San Francisco,SAN FRANCISCO-OAK-SAN JOSE
San Francisco FSP,SAN FRANCISCO-OAK-SAN JOSE
San Gorgonio Pass,LOS ANGELES
San Jose,SAN FRANCISCO-OAK-SAN JOSE
San Jose FSP,SAN FRANCISCO-OAK-SAN JOSE
San Luis Obispo,SANTABARBRA-SANMAR-SANLUOB
Santa Ana,LOS ANGELES
Santa Barbara,SANTABARBRA-SANMAR-SANLUOB
Santa Cruz,MONTEREY-SALINAS
Santa Fe Springs,LOS ANGELES
Santa Maria,SANTABARBRA-SANMAR-SANLUOB
Santa Rosa,SAN FRANCISCO-OAK-SAN JOSE
Santa Rosa FSP,SAN FRANCISCO-OAK-SAN JOSE
SL,Unknown
SLCC,Unknown
SLFSP,Unknown
Solano,SAN FRANCISCO-OAK-SAN JOSE
Solano FSP,SAN FRANCISCO-OAK-SAN JOSE
Sonora,SACRAMNTO-STKTON-MODESTO
South FSP,Unknown
South LA,LOS ANGELES
South Sac,SACRAMNTO-STKTON-MODESTO
South Sac FSP,SACRAMNTO-STKTON-MODESTO
ST,Unknown
STCC,Unknown
STFSP,Unknown
Stockton,SACRAMNTO-STKTON-MODESTO
Stockton FSP,SACRAMNTO-STKTON-MODESTO
Susanville,RENO
Temecula,LOS ANGELES
Temecula FSP,LOS ANGELES
Templeton,SANTABARBRA-SANMAR-SANLUOB
TK,Unknown
Tracy,SACRAMNTO-STKTON-MODESTO
Tracy FSP,SACRAMNTO-STKTON-MODESTO
Truckee,RENO
UKCC,Unknown
Ukiah,SAN FRANCISCO-OAK-SAN JOSE
Ventura,LOS ANGELES
Victorville,LOS ANGELES
Visalia,FRESNO-VISALIA
VT,Unknown
VTCC,Unknown
West LA,LOS ANGELES
West Valley,SAN FRANCISCO-OAK-SAN JOSE
Westminster,LOS ANGELES
Williams,SACRAMNTO-STKTON-MODESTO
Willows,CHICO-REDDING
Winterhaven,YUMA-EL CENTRO
Woodland,SACRAMNTO-STKTON-MODESTO
Woodland FSP,SACRAMNTO-STKTON-MODESTO
Yreka,CHICO-REDDING
Yuba Sutter,SACRAMNTO-STKTON-MODESTO
